,actor,collab,count,genres
1095,Om Puri,Akshay Kumar,7,"['Comedy|Drama|Fantasy', 'Comedy|Romance|Sci-Fi', 'Action|Comedy|Crime', 'Action|Comedy|Drama', 'Action|Crime|Drama', 'Action|Comedy|Crime', 'Action|Comedy|Crime']"
1096,Om Puri,Sharat Saxena,5,"['Action|Comedy|Drama', 'Comedy', 'Action|Crime|Drama', 'Action|Crime|Drama', 'Action|Crime|Drama']"
1097,Om Puri,Irrfan Khan,4,"['Comedy|Drama', 'Action|Crime|Drama', 'Crime|Drama|Thriller', 'Crime|Drama|Thriller']"
1098,Om Puri,Birbal,1,['Drama|Family']
1099,Om Puri,Ranjeet,2,"['Drama', 'Drama']"
1100,Om Puri,Helen,1,['Comedy|Drama|Family']
1101,Om Puri,Shatrughan Sinha,3,"['Action|Crime|Drama', 'Drama', 'Drama']"
1102,Om Puri,Sanjay Dutt,7,"['Action|Comedy', 'Action|Drama', 'Action|Drama', 'Action|Crime|Drama', 'Action|Comedy|Romance', 'Action|Drama', 'Drama|Romance']"
1103,Om Puri,Vinod Khanna,2,"['Action|Comedy', 'Action|Romance']"
1104,Om Puri,Rakhee Gulzar,1,['Action|Drama']
1105,Om Puri,Naseeruddin Shah,16,"['Drama', 'Comedy|Drama|Romance', 'Crime|Drama|Thriller', 'Crime|Drama|History', 'Action|Adventure|Drama', 'Drama|Thriller', 'Drama|Thriller', 'Drama', 'Crime|Drama', 'Comedy|Drama', 'Crime|Drama', 'Comedy|Drama', 'Comedy|Drama', 'Comedy|Drama|Romance', 'Crime|Drama|Music', 'Drama|Romance']"
1106,Om Puri,Beena Banerjee,1,['Drama|Family|Romance']
1107,Om Puri,Mithun Chakraborty,4,"['Comedy|Drama|Fantasy', 'Action|Crime|Drama', 'Action|Drama', 'Drama|Musical|Romance']"
1108,Om Puri,Govinda,4,"['Action|Comedy|Crime', 'Drama|Romance', 'Comedy|Drama|Romance', 'Drama']"
1109,Om Puri,Sunny Deol,7,"['Action|Drama', 'Action|Comedy|Crime', 'Action|Crime|Drama', 'Action|Thriller', 'Action|Drama|Thriller', 'Action|Drama', 'Action|Crime|Drama']"
1110,Om Puri,Dinesh Hingoo,4,"['Action|Comedy|Crime', 'Action|Comedy|Romance', 'Action|Drama|Thriller', 'Mystery']"
1111,Om Puri,Kulbhushan Kharbanda,14,"['Action|Crime|Drama', 'Action|Comedy|Crime', 'Action|Adventure|Drama', 'Action|Crime|Drama', 'Action|Drama|Romance', 'Action|Crime|Drama', 'Drama', 'Action|Crime|Drama', 'Action|Thriller', 'Drama', 'Drama|Mystery', 'Action|Crime|Drama', 'Comedy|Drama', 'Drama']"
1112,Om Puri,Johnny Walker,1,['Comedy|Drama|Family']
1113,Om Puri,Tej Sapru,3,"['Action|Crime|Drama', 'Horror', 'Drama']"
1114,Om Puri,Shubha Khote,1,['Comedy|Drama|Family']
1115,Om Puri,Salman Khan,7,"['Drama|War', 'Action|Comedy|Drama', 'Action|Comedy', 'Drama|Music', 'Drama|Family|Romance', 'Drama|Romance', 'Comedy|Drama|Romance']"
1116,Om Puri,Navin Nischol,2,"['Drama|Romance', 'Drama']"
1117,Om Puri,Johnny Lever,13,"['Comedy|Romance', 'Action|Comedy|Crime', 'Action|Comedy|Crime', 'Action|Comedy|Drama', 'Family|Musical|Romance', 'Action|Comedy|Crime', 'Drama|Romance', 'Action|Thriller', 'Comedy|Drama|Romance', 'Crime|Drama|Thriller', 'Comedy|Drama|Romance', 'Action|Drama', 'Action|Drama']"
1118,Om Puri,Rajpal Yadav,11,"['Action|Comedy', 'Comedy', 'Comedy|Romance|Sci-Fi', 'Comedy|Drama', 'Comedy|Drama|Romance', 'Comedy|Crime|Mystery', 'Drama|Family|Romance', 'Comedy|Drama|Romance', 'Comedy|Drama|Romance', 'Action|Crime|Drama', 'Action|Comedy|Crime']"
1119,Om Puri,Satish Shah,5,"['Action|Drama', 'Action|Drama|Thriller', 'Comedy|Drama', 'Comedy|Drama|Romance', 'Drama']"
1120,Om Puri,Madhuri Dixit,4,"['Action|Drama|Romance', 'Action|Drama', 'Drama|Musical|Romance', 'Action|Drama']"
1121,Om Puri,Jagdeep,2,"['Action|Adventure|Drama', 'Action|Drama|Thriller']"
1122,Om Puri,Rakesh Bedi,4,"['Action|Comedy|Drama', 'Comedy|Drama|Romance', 'Action|Drama|Thriller', 'Drama']"
1123,Om Puri,Sharmila Tagore,2,"['Action|Comedy|Crime', 'Drama|Mystery']"
1124,Om Puri,A.K. Hangal,5,"['Comedy|Drama|Family', 'Action|Drama|Thriller', 'Action|Drama', 'Drama|Mystery', 'Drama']"
1125,Om Puri,Himani Shivpuri,4,"['Comedy|Drama|Romance', 'Comedy|Drama|Romance', 'Action|Comedy|Romance', 'Drama|Musical|Romance']"
1126,Om Puri,Om Shivpuri,2,"['Action|Drama', 'Drama|Family']"
1127,Om Puri,Kader Khan,3,"['Comedy|Drama|Romance', 'Action|Drama', 'Action|Crime|Drama']"
1128,Om Puri,Jackie Shroff,6,"['Drama', 'Action|Comedy|Crime', 'Drama|Romance', 'Action|Crime|Drama', 'Action|Thriller', 'Action|Crime|Drama']"
1129,Om Puri,Rajesh Khanna,1,['Action|Crime|Drama']
1130,Om Puri,Kiran Kumar,1,['Action|Crime|Drama']
1131,Om Puri,Vikas Anand,1,['Drama|Family']
1132,Om Puri,Yunus Parvez,1,['Action|Crime|Drama']
1133,Om Puri,Sadashiv Amrapurkar,4,"['Action|Crime|Drama', 'Crime|Drama', 'Drama', 'Crime|Drama']"
1134,Om Puri,Mohnish Bahl,2,"['Comedy|Drama|Family', 'Action|Drama|Thriller']"
1135,Om Puri,Jankidas,1,['Drama|Musical|Romance']
1136,Om Puri,Dharmendra,1,['Action|Drama']
1137,Om Puri,Amrish Puri,15,"['Drama|History|Musical', 'Drama', 'Comedy|Drama|Family', 'Comedy|Drama|Family', 'Action|Drama|Thriller', 'Drama|Thriller', 'Drama', 'Action|Crime|Drama', 'Action|Drama', 'Crime|Drama', 'Crime|Drama', 'Comedy|Drama', 'Drama', 'Drama', 'Crime|Drama|Music']"
1138,Om Puri,Satyendra Kapoor,2,"['Action|Crime|Drama', 'Action|Crime|Drama']"
1139,Om Puri,Saeed Jaffrey,2,"['Action|Drama|Thriller', 'Comedy|Drama']"
1140,Om Puri,Govind Namdeo,6,"['Drama', 'Comedy|Drama|Fantasy', 'Action|Crime|Drama', 'Action|Crime|Drama', 'Action|Drama|Thriller', 'Drama|Musical|Romance']"
1141,Om Puri,Manisha Koirala,1,['Action|Crime|Drama']
1142,Om Puri,Danny Denzongpa,6,"['Action|Crime|Drama', 'Action|Drama|Romance', 'Action|Adventure|Drama', 'Action|Crime|Drama', 'Action|Crime|Drama', 'Action|Drama|Thriller']"
1143,Om Puri,Brahmachari,1,['Action|Crime|Drama']
1144,Om Puri,Tiku Talsania,2,"['Comedy|Drama|Romance', 'Action|Drama|Thriller']"
1145,Om Puri,Lalita Pawar,1,['Action|Drama']
1146,Om Puri,Shammi Kapoor,1,['Drama|Musical|Romance']
1147,Om Puri,Goga Kapoor,2,"['Action|Crime|Drama', 'Action|Drama']"
1148,Om Puri,Hema Malini,2,"['Drama|Family|Romance', 'Crime|Drama|History']"
1149,Om Puri,Rishi Kapoor,4,"['Action|Drama', 'Comedy|Drama', 'Drama|Musical|Romance', 'Action|Crime|Drama']"
1150,Om Puri,Shabana Azmi,9,"['Action|Drama', 'Comedy|Drama', 'Drama', 'Drama', 'Drama', 'Drama', 'Comedy|Drama', 'Comedy|Drama|Romance', 'Drama|Romance']"
1151,Om Puri,Mac Mohan,2,"['Action|Drama', 'Action|Crime|Drama']"
1152,Om Puri,Shreeram Lagoo,4,"['Drama', 'Comedy|Drama', 'Drama', 'Drama']"
1153,Om Puri,Boman Irani,2,"['Action|Crime|Thriller', 'Action|Crime|Thriller']"
1154,Om Puri,Satish Kaushik,2,"['Drama', 'Comedy|Drama']"
1155,Om Puri,Saif Ali Khan,1,['Action|Crime|Drama']
1156,Om Puri,Parikshat Sahni,1,['Comedy|Drama']
1157,Om Puri,Jeetendra,1,['Mystery']
1158,Om Puri,Sanjay Mishra,1,['Action|Comedy|Crime']
1159,Om Puri,Anil Kapoor,1,['Action|Drama|Romance']
1160,Om Puri,Vikram Gokhale,2,"['Drama|History|Musical', 'Crime|Drama|History']"
1161,Om Puri,Tinnu Anand,10,"['Comedy|Drama|Romance', 'Action|Comedy', 'Action|Crime|Drama', 'Comedy|Drama|Romance', 'Comedy|Drama|Family', 'Action|Adventure|Drama', 'Action|Crime|Drama', 'Action|Drama|Romance', 'Action|Crime|Drama', 'Comedy|Drama']"
1162,Om Puri,Razak Khan,4,"['Action|Comedy|Crime', 'Comedy', 'Action|Comedy|Crime', 'Action|Comedy|Crime']"
1163,Om Puri,Jimmy Sheirgill,1,['Action|Crime|Drama']
1164,Om Puri,Ashok Kumar,1,['Drama|Romance']
1165,Om Puri,Ramesh Deo,1,['Action|Drama']
1166,Om Puri,Raj Babbar,6,"['Family|Musical|Romance', 'Action|Crime|Drama', 'Action|Crime|Drama', 'Action|Crime|Drama', 'Action|Thriller', 'Drama']"
1167,Om Puri,Shivraj,1,['Drama']
1168,Dharmendra,Avtar Gill,2,"['Action|Drama', 'Action']"
1169,Dharmendra,Om Prakash,8,"['Drama|Family', 'Comedy|Drama|Romance', 'Action|Crime', 'Comedy|Drama', 'Musical|Romance|Thriller', 'Drama|Family|Romance', 'Drama', 'Drama']"
1170,Dharmendra,Mushtaq Khan,1,['Action']
1171,Dharmendra,Master Bhagwan,10,"['Action|Crime|Drama', 'Action|Drama', 'Drama|Family', 'Action|Crime|Thriller', 'Action|Comedy|Drama', 'Action|Comedy', 'Drama|Family', 'Comedy|Crime|Romance', 'Action|Drama', 'Drama']"
1172,Dharmendra,Iftekhar,16,"['Action|Adventure|Comedy', 'Action', 'Crime', 'Adventure|Crime|Thriller', 'Action|Drama|Romance', 'Action|Crime|Thriller', 'Action|Thriller', 'Action|Crime|Thriller', 'Action|Adventure|Comedy', 'Drama|Musical|Romance', 'Drama|Romance', 'Romance|Thriller', 'Comedy|Romance', 'Action|Drama|Romance', 'Action|Drama|Romance', 'Drama|Family']"
1173,Dharmendra,Pinchoo Kapoor,4,"['Action|Drama', 'Drama', 'Romance|Thriller', 'Crime|Musical|Mystery']"
1174,Dharmendra,Rati Agnihotri,4,"['Comedy', 'Action|Crime|Drama', 'Action|Drama', 'Action|Drama']"
1175,Dharmendra,Sujit Kumar,10,"['Action|Thriller', 'Action|Fantasy', 'Action', 'Action|Thriller', 'Drama|Family', 'Drama|Family', 'Action|Drama|Romance', 'Drama', 'Action|Adventure|Drama', 'Action|Adventure|Drama']"
1176,Dharmendra,Tun Tun,8,"['Action|Comedy', 'Action|Comedy|Drama', 'Action|Drama|Romance', 'Action|Drama|Romance', 'Mystery', 'Action|Drama|Romance', 'Action|Drama|Romance', 'Drama|Family|Musical']"
1177,Dharmendra,Farida Jalal,2,"['Comedy', 'Mystery']"
1178,Dharmendra,Sunil Dutt,5,"['Action|Drama|War', 'Drama', 'Action|Adventure|Crime', 'Action|Drama', 'Action|Drama']"
1179,Dharmendra,Dalip Tahil,1,['Action|Drama']
1180,Dharmendra,Murad,4,"['Action|Drama|Romance', 'Action|Crime|Thriller', 'Action', 'Comedy|Crime|Romance']"
1181,Dharmendra,David Abraham,6,"['Comedy|Drama|Romance', 'Drama|Family', 'Action|Crime|Thriller', 'Drama', 'Action|Crime|Mystery', 'Drama|Romance']"
1182,Dharmendra,Ajit,6,"['Action|Drama', 'Action|Thriller', 'Action|Comedy|Drama', 'Action|Drama', 'Action|Drama|Musical', 'Drama|Romance|Thriller']"
1183,Dharmendra,Viju Khote,6,"['Action', 'Action', 'Crime', 'Action|Crime|Drama', 'Drama|Family', 'Action|Comedy|Drama']"
1184,Dharmendra,Sushma Seth,1,['Action']
