imdb_id,poster_path,original_title,year_of_release,runtime,genres,imdb_rating,imdb_votes,actors,wins_nominations,release_date
tt0845494,https://upload.wikimedia.org/wikipedia/en/thumb/8/83/Nanhe_jaisalmer_poster.jpg/220px-Nanhe_jaisalmer_poster.jpg,Nanhe Jaisalmer: A Dream Come True,2007,108,Comedy|Drama|Family,6,364,Dwij Yadav|Bobby Deol|Sharat Saxena|Vivek Shauq|Rajesh Vivek|Prateeksha Lonkar|Rushita Singh|Vatsal Sheth|Beena Kak|,1 win,14 September 2007 (India)
tt0979913,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Life_mein_kabhi_kabhee.jpg/220px-Life_mein_kabhi_kabhee.jpg,Life Mein Kabhie Kabhiee,2007,145,Drama|Thriller,5.9,245,Aftab Shivdasani|Dino Morea|Anuj Sawhney|Nauheed Cyrusi|Anjori Alagh|Raj Zutshi|Koel Purie|,,13 April 2007 (India)
tt0845529,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Risk_%282007_film%29_poster.jpg/220px-Risk_%282007_film%29_poster.jpg,Risk,2007,155,Action|Crime|Drama,6.7,517,Vinod Khanna|Randeep Hooda|Tanushree Dutta|,,January 2007 (India)
tt0845535,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/ShakalakaBoomBoom.jpg/220px-ShakalakaBoomBoom.jpg,Shakalaka Boom Boom,2007,129,Drama|Musical|Romance,2.4,525,Bobby Deol|Upen Patel|Celina Jaitly|Kangana Ranaut|,,6 April 2007 (India)
tt1047519,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Red_Swastik.jpg/220px-Red_Swastik.jpg,Red Swastik,2007,131,Crime|Drama|Thriller,2.9,209,Sherlyn Chopra|Harsh Chhaya|Deepshika Nagpal|Deep Raj Rana|Kuldeep Mallik|Preeti Koppikar|Rishi Khurana|Manuj Bhaskar|Pankaj Kalra|Yusuf Khan|Ssanjay Swaraaj|Zahid Ali|Rakesh Shrivastav|Mukesh Panchal|,,8 June 2007 (India)
tt0485272,https://upload.wikimedia.org/wikipedia/en/thumb/b/b1/Salaam-e-Ishq_poster.jpg/220px-Salaam-e-Ishq_poster.jpg,Salaam-E-Ishq,2007,216,Comedy|Drama|Musical,5.1,4943,Salman Khan|Priyanka Chopra|Anil Kapoor|Juhi Chawla|Akshaye Khanna|Ayesha Takia|John Abraham|Vidya Balan|Govinda|Shannon Esra|Sohail Khan|Isha Koppikar|Anjana Sukhani|Kushal Punjabi|,1 nomination,25 January 2007 (India)
tt0758053,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/SaawariyaPoster.jpg/220px-SaawariyaPoster.jpg,Saawariya,2007,142,Drama|Musical|Romance,5.3,6957,Rani Mukerji|Ranbir Kapoor|Sonam Kapoor|Salman Khan|Zohra Sehgal|Begum Para|Atheya Chaudhri|Kenneth Desai|Vibha Chhibber|Farida Dadi|Darpan Srivastava|Pravishi Das|Neha Bam|Nupur Alankar|,8 wins & 10 nominations,9 November 2007 (India)
tt0476861,,Sarhad Paar,2006,117,Action|Drama|Romance,4.2,100,Mahima Chaudhry|Tabu|Sanjay Dutt|Chandrachur Singh|Rahul Dev|,,23 November 2006 (India)
tt1020899,https://upload.wikimedia.org/wikipedia/en/thumb/b/b1/Say_Salaam_India%2C_2007_Hindi_film.jpg/220px-Say_Salaam_India%2C_2007_Hindi_film.jpg,Say Salaam India: 'Let's Bring the Cup Home',2007,\N,Drama|Sport,6.4,84,Mandar Jadhav|Milind Soman|Sanjay Suri|Sandhya Mridul|Sachin Khedekar|Manoj Pahwa|Vickeey Ahhuja|Sagar Chawla|,,
tt0896968,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Red_the_dark_side_poster.jpg/220px-Red_the_dark_side_poster.jpg,Red: The Dark Side,2007,148,Drama|Romance|Thriller,3.3,284,Aftab Shivdasani|Celina Jaitly|Amrita Arora|,,9 March 2007 (India)
tt0811066,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Shoot-Out-At-Lokhandwala-Poster.jpg/220px-Shoot-Out-At-Lokhandwala-Poster.jpg,Shootout at Lokhandwala,2007,122,Action|Crime,7.1,8778,Amitabh Bachchan|Sanjay Dutt|Sunil Shetty|Arbaaz Khan|Abhishek Bachchan|Vivek Oberoi|Tusshar Kapoor|Rohit Roy|Shabbir Ahluwalia|Dia Mirza|Amrita Singh|Neha Dhupia|Aditya Lakhia|Ravi Gossain|,3 wins & 1 nomination,25 May 2007 (India)
tt0882967,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Strangers_hindi_movie.jpg/220px-Strangers_hindi_movie.jpg,Strangers,2007,100,Drama|Romance|Thriller,5,325,Jimmy Sheirgill|Kay Kay Menon|Sonali Kulkarni|Nandana Sen|Kitu Gidwani|,,15 December 2007 (India)
tt0984122,https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Swami-2007-DVD-Cover.jpg/220px-Swami-2007-DVD-Cover.jpg,Swami,2007,140,Drama,7,327,Manoj Bajpayee|Juhi Chawla|Maninder Wasu|Neha Pendse|,,8 June 2007 (India)
tt0986264,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Taare_Zameen_Par_Like_Stars_on_Earth_poster.png/220px-Taare_Zameen_Par_Like_Stars_on_Earth_poster.png,Taare Zameen Par,2007,165,Drama|Family,8.4,148498,Darsheel Safary|Aamir Khan|Tisca Chopra|Vipin Sharma|Sachet Engineer|Tanay Chheda|Lalitha Lajmi|Girija Oak|Ravi Khanvilkar|Pratima Kulkarni|Meghna Malik|Sonali Sachdev|Sanjay Dadich|Raaj Gopal Iyer|,18 wins & 8 nominations,21 December 2007 (India)
tt0833553,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/TaRaRumPum_Poster.jpg/220px-TaRaRumPum_Poster.jpg,Ta Ra Rum Pum,2007,153,Family|Romance|Sport,5.6,3845,Saif Ali Khan|Rani Mukerji|Javed Jaffrey|Ali Haji|Angelina Idnani|Mayank Amin|,,27 April 2007 (India)
tt0816657,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Speed_%282007_film%29.jpg/220px-Speed_%282007_film%29.jpg,Speed,2007,102,Action|Crime|Thriller,2.9,480,Urmila Matondkar|Sanjay Suri|Zayed Khan|Aftab Shivdasani|Aashish Chaudhary|Sophiya Chaudhary|Tanushree Dutta|,,19 October 2007 (India)
tt0819810,https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/TrafficsignalMovie_Poster.jpg/220px-TrafficsignalMovie_Poster.jpg,Traffic Signal,2007,130,Drama,6.5,1356,Kunal Khemu|Neetu Chandra|Upendra Limaye|Ranvir Shorey|Manish Mehta|Vicky Tulaskar|Nassar Abdulla|Yakub Sayeed|Santosh Dharni|Raj Munnan|Sandeep Mehta|Indira Iyer|Konkona Sen Sharma|Sudhir Mishra|,2 wins & 1 nomination,2 February 2007 (India)
tt0995827,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Thetraine.jpg/220px-Thetraine.jpg,The Train: Some Lines Should Never Be Crossed...,2007,134,Crime|Drama|Thriller,4.3,950,Emraan Hashmi|Geeta Basra|Rajat Bedi|Ananth Narayan Mahadevan|Ashok Beniwal|Sukhwinder|Asseem Merchant|Sayali Bhagat|Rajesh Khattar|Anita Wahi|,,8 June 2007 (India)
tt1152845,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Showbiz_%282007_film%29.jpg/220px-Showbiz_%282007_film%29.jpg,Showbiz,2007,108,Action|Crime|Drama,3.8,108,Tushar Jalota|Mrinalini Sharma|,,28 December 2007 (India)
tt4249442,https://upload.wikimedia.org/wikipedia/en/thumb/c/cd/Sunglass_poster.jpg/220px-Sunglass_poster.jpg,Sunglass,2013,100,Comedy|Drama|Thriller,6.5,24,Jaya Bachchan|Madhavan|Tota Roy Chowdhury|Raima Sen|Naseeruddin Shah|,,10 November 2013 (India)
tt0488798,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Welcome_poster_2007.jpg/220px-Welcome_poster_2007.jpg,Welcome,2007,159,Comedy|Romance,6.8,15994,Akshay Kumar|Nana Patekar|Anil Kapoor|Mallika Sherawat|Katrina Kaif|Feroz Khan|Paresh Rawal|Malaika Arora|,2 nominations,21 December 2007 (USA)
tt0477252,https://upload.wikimedia.org/wikipedia/en/thumb/b/b5/36_China_Town.jpg/220px-36_China_Town.jpg,36 China Town,2006,140,Comedy|Mystery|Thriller,5.6,3862,Akshaye Khanna|Kareena Kapoor|Shahid Kapoor|Paresh Rawal|Payal Rohatgi|Johnny Lever|Tanaaz Currim Irani|Isha Koppikar|Tanushree Dutta|Upen Patel|Priyanka Chopra|Vivek Shauq|Raj Zutshi|Dinyar Contractor|,2 wins & 1 nomination,21 April 2006 (India)
tt0389551,https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Zamaanat_%281977_film%29.jpg/220px-Zamaanat_%281977_film%29.jpg,Zamaanat,1977,127,Action|Crime|Thriller,3.5,8,Jeetendra|Reena Roy|,,1977 (India)
tt0810058,https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/Aap_Ki_Khatir_%28movie_poster%29.jpg/220px-Aap_Ki_Khatir_%28movie_poster%29.jpg,Aap Ki Khatir,2006,122,Comedy|Romance,3.5,781,Akshaye Khanna|Priyanka Chopra|Ameesha Patel|Dino Morea|Sunil Shetty|Bhumicka Singh|Anupam Kher|Lillete Dubey|Tiku Talsania|,,25 August 2006 (USA)
