name,profession,known_for
J.B.H. Wadia,writer|director|producer,tt0358194|tt0139443|tt0398671|tt0372038
Hari Walia,director|producer,tt0176313|tt0318391|tt0384924
Jeremy Wooding,director|producer|writer,tt0321494|tt0303008|tt3529110|tt6668974
Raja Yagnik,director|producer,tt0389018|tt0155352|tt7033876|tt3638474
Paul Zils,director|assistant_director,tt0157186|tt0156804|tt0156728|tt0275091
N.K. Ziree,director|producer,tt0377632|tt0134840
Kaushik Ghatak,director|writer,tt2943834|tt3636776|tt2801992|tt0853074
Goldie Behl,producer|director|writer,tt10699044|tt6900278|tt1060249|tt0283911
Deb Mukherjee,actor|director|producer,tt0361793|tt1274295|tt0104561|tt0360626
Kamal Sadanah,actor|writer|director,tt3796006|tt3728376|tt5281364|tt0363455
Gul Bahar Singh,director|executive,tt0287463|tt0332559|tt6509874|tt0284999
Onir,producer|director|editor,tt4287778|tt1327833|tt0419992|tt1629295
Gautam Adhikari,producer|director|writer,tt8779772|tt0350613|tt0439872|tt0286539
Lateef Binny,assistant_director|director|writer,tt0109117|tt0217351|tt0286416|tt0099652
Jyotin Goel,writer|director|producer,tt1633171|tt0232784|tt0286934|tt2100543
Shakeel Noorani,producer|director|writer,tt0227496|tt0250452|tt0286478|tt0358261
T.L.V. Prasad,director|writer|editor,tt0314938|tt0294492|tt0286891|tt0113455
Rajiv Babbar,producer|director|writer,tt0251395|tt0349620|tt0470398|tt0287152
Memon Roy,nan,tt0274764
Pushpdeep Bhardwaj,director|writer,tt9074776|tt8426854
Akashdeep,actor|director|producer,tt0395668|tt2909396|tt0362056|tt0213677
Rajan Johri,writer|director,tt1023138|tt0288273|tt0315777
Tanveer Khan,writer|director|actor,tt2104937|tt0946999|tt0430328|tt0133024
Prince Singh,director,tt8897986
Manobala,actor|director|producer,tt3711164|tt1356900|tt0320728|tt10127712
Gaurav Pandey,writer|director|actor,tt0357208|tt4105550|tt0814012|tt4338242
Irfan Kamal,actor|music_department|writer,tt1437367|tt1029231|tt9179426|tt1188982
Akshay Anand,actor,tt0190419|tt0390729|tt7720254|tt0359368
Kishore Vyas,director|producer,tt0172175|tt4599370|tt0289686|tt2748626
Ganesh Acharya,miscellaneous|actor|director,tt3735246|tt0488414|tt0405508|tt2356180
Rakeysh Omprakash Mehra,producer|director|writer,tt2356180|tt0405508|tt0289845|tt1043451
Yakub Hasan Rizvi,director|producer,tt0359728|tt0139046|tt3501502
Jagdish A. Sharma,director|producer,tt1158700|tt0135641|tt0292606|tt0115668
Vivek Sharma,assistant_director|miscellaneous|director,tt1324078|tt0347473|tt0991346|tt0172684
Jeeva,cinematographer|director|writer,tt0458184|tt1388434|tt0242519|tt0375514
Sanjay Dayma,writer|director|assistant_director,tt0169102|tt0476848
Dayal Nihalani,assistant_director|director|writer,tt0337625|tt0251143|tt0338960|tt0113527
Bhushan Patel,director|camera_department|cinematographer,tt8396186|tt0156985|tt9444348|tt0101733
Kamal Saigal,editor|assistant_director|director,tt0196635|tt0090812|tt0367695|tt0439639
Aditya Bhattacharya,director|actor|producer,tt4035594|tt0290820|tt1354066|tt3055378
Ashok Honda,editor|producer|director,tt0358613|tt0311413|tt0135621|tt0135140
Anubhav Sinha,director|writer|producer,tt7618184|tt1562871|tt0348521|tt0290326
Farhan Akhtar,producer|actor|writer,tt2356180|tt0461936|tt0292490|tt1562872
S. Azim,stunts|actor|director,tt2761592|tt0147811|tt0290501|tt0239452
Sikander Bharti,director|assistant_director|music_department,tt0290839|tt0290940|tt0376158|tt0363967
Jagannath Chatterjee,director,tt0290523|tt1587140|tt7893404|tt0499182
Renzil D'Silva,writer|director,tt2792284|tt0405508|tt1185442|tt2172071
Firoz Irani,actor|director|writer,tt0326576|tt0206020|tt0461323|tt0233227
Reema Kagti,writer|producer|assistant_director,tt2395469|tt6173990|tt1787988|tt1562872
Vijay Kapoor,director|writer|producer,tt0370383|tt6574506|tt2858416|tt0415480
Keval P. Kashyap,miscellaneous|producer|director,tt0293499|tt0057332|tt0362283|tt1996213
P. Madhavan,director|producer|writer,tt0315901|tt3442564|tt1445775|tt0316854
Bala Rajasekharuni,miscellaneous|producer|writer,tt10525180|tt2006721|tt0758734|tt0292527
Raju Subramaniam,director|assistant_director,tt1846147|tt0396768|tt0292742|tt0107867
Brijesh Batuknath Tripathi,director|producer,tt9472208|tt1825833
Mitali Ghoshal,director|producer,tt9496212
Ravi Sadasiv,director,\N
Ashok V. Bhushan,miscellaneous|director|assistant_director,tt0072100|tt0177492|tt0300475|tt0371058
Arun Bhatt,director|assistant_director|writer,tt0337650|tt4601946|tt2748626|tt0247015
Abhishek Dixit,director|writer,tt9319812
Manish Acharya,actor|cinematographer|producer,tt0362771|tt1012757|tt8885192|tt1172203
Madhur Bhandarkar,writer|director|actor,tt0819810|tt0267363|tt0443708|tt0964516
Rajpal Yadav,actor|writer|director,tt0995031|tt0991346|tt0347304|tt0251756
Rajendra Bhatia,director|producer|assistant_director,tt0177502|tt0442610|tt0067553|tt0435079
Rajesh Nahta,director|music_department|producer,\N
Saket Chaudhary,director|writer,tt0480572|tt3302962|tt0249371|tt5764096
Hattori Kazuyasu,director,tt0182637
Ashim S. Samanta,director|producer|miscellaneous,tt4195276|tt0451614|tt0424339|tt1446055
Abbas Tyrewala,writer|music_department|soundtrack,tt0473367|tt0379370|tt0347473|tt0374887
C.P. Dixit,director|assistant_director,tt0359677|tt0357997|tt0359186|tt0298327
Vinay Sapru,director|actor|assistant_director,tt0449306|tt3595298|tt5255710|tt1620719
Nageshwara Rao Y.,director,tt0298500|tt0101742|tt0361506|tt1579535
Namrata Singh Gujral,actress|director|producer,tt1489877|tt1971310|tt2225858|tt0485185
Govind Moonis,director|music_department,tt0451901
Goutham Vasudev Menon,director|writer|producer,tt1602585|tt1609168|tt1180583|tt4258292
Meraj,assistant_director|director|actor,tt2858680|tt0215466|tt1773306|tt0379252
Digvijay Singh,director|writer|producer,tt1566409|tt0395692|tt0299027
Amit Singh,director,\N
Anant Balani,director|writer|producer,tt0382188|tt0385793|tt0102645|tt0348190
Manas Das,director,\N
N. Maharajan,director|writer,tt0264210|tt4516596|tt1265633|tt0300028
Kawal Sharma,director|writer|producer,tt2224282|tt0317641|tt0359657|tt0361772
Ashu Trikha,director|special_effects|writer,tt0445056|tt0813996|tt2941856|tt3640942
Umesh Shukla,writer|director|actor,tt6580564
Prashant Chadha,director|writer|editor,tt0814295|tt2033947|tt0301677|tt0995840
Satpal,assistant_director|director|camera_department,tt0359076|tt0359170|tt4622218|tt0354416
Danish Singh,director|writer,\N
Debamitra Biswal,director,\N
Yogesh Saxena,music_department|sound_department|director,tt1142320|tt0100095|tt0284137|tt0110076
Benny Mathews,director|writer|art_director,tt1122587|tt0829278|tt0306228|tt4396888
Prabhat Roy,director|writer|assistant_director,tt7351230|tt4772968|tt0363905|tt0363691
K. Subhash,director|writer|producer,tt2112124|tt0438875|tt0305951|tt1039989
Ravi Khanna,stunts|actor|assistant_director,tt0154685|tt0381157|tt0060689|tt0045529
S.V. Rajendra Singh,director|writer|producer,tt1392100|tt0307202|tt4193956|tt0359688
S.M. Abbas,writer|director|actor,tt0054302|tt0215827|tt0239452|tt0388913
Harsh Chhaya,actor|director|writer,tt1802133|tt0400977|tt7260848|tt5304172
Ajay Goel,assistant_director|director|producer,tt0359496|tt0404843|tt0816627|tt0246493
Rohit Roy,actor|producer|director,tt0249588|tt5460276|tt7236796|tt1907660
Meghna Gulzar,director|writer|assistant_director,tt7098658|tt4934950|tt4430212|tt0307866
Shomu Mukherjee,writer|producer|director,tt0257475|tt0187395|tt0111067|tt0359266
Rajshree Ojha,director|writer|producer,tt5207116|tt0307989|tt1252475|tt6437190
Manik Chatterjee,assistant_director|director|actor,tt0052411|tt0077609|tt0349122|tt0057332
Raj Tilak,actor|producer|director,tt0367595|tt0071307|tt3767372|tt0369746
Satyajit Bhatkal,director|writer|miscellaneous,tt0169102|tt2360717|tt0417528|tt1605790
Kashinath,actor|director|writer,tt1219317|tt8541250|tt10125812|tt0352133
Jatin Kumar,director,tt0366593|tt0309861|tt5216550|tt0437310
Jose Punnoose,producer|director,tt0317893|tt0309800|tt2459620
Akbar Khan,actor|director|producer,tt0356666|tt0175450|tt0328503|tt5269346
Amrit Nahata,director,tt0311401
Shirish Kunder,editor|writer|director,tt1918886|tt1024943|tt0347473|tt0456481
K.S. Adiyaman,director|writer,tt1640706|tt0430589|tt2081165|tt0453188
Raj Marbros,director|assistant_director|writer,tt0215267|tt0301240|tt0056232|tt1523412
V. Menon,director|writer|assistant_director,tt2677146|tt0364645|tt8281642|tt0274764
Remo D'Souza,miscellaneous|actor|director,tt3735246|tt7431594|tt5235880|tt4535650
Vipul Amrutlal Shah,producer|director|writer,tt0306434|tt1396208|tt0795434|tt2556308
K.B. Tilak,director|producer|actor,tt0327024|tt7284340|tt0333105|tt0328159
Chandan Arora,editor|editorial_department|camera_department,tt0296574|tt0251756|tt1029231|tt1573482
Niranjan,director|assistant_director|writer,tt4773892|tt0364640|tt0353582|tt0045529
Punit Malhotra,director|assistant_director|writer,tt1667838|tt2275794|tt0248126|tt0347304
Mohanji Prasad,director|producer|writer,tt0231214|tt5216698|tt0311029|tt0267742
Rajat Rakshit,director|writer,tt1995418|tt0405856|tt0359875|tt0361601
Din Dayal Sharma,writer|director|assistant_director,tt0268146|tt0082644|tt0293589|tt0077168
Tarun Mansukhani,assistant_director|director|actor,tt0213890|tt1185420|tt0172684|tt0248126
Manish Jha,director|writer|actor,tt0379375|tt3224258|tt0953306|tt0318161
Rajasekhar,director|writer|cinematographer,tt1394224|tt0362674|tt4246776|tt0323163
Kumar Bhatia,writer|director|actor,tt0317355|tt2504274|tt1604826|tt0388554
Ujjwal Chatterjee,writer|director|producer,tt0312664|tt0489582|tt1407929|tt3209244
Sunder Dar,writer|director,tt0178196|tt0360463|tt0316506
Irshad,miscellaneous|director|writer,tt0319020|tt0316733|tt0479747|tt0053999
Dinkar Kapur,assistant_director|director,tt0316911|tt0106333|tt2388817|tt0211634
Rajbans Khanna,director|writer|producer,tt0317595|tt0312836
Subhash Sonik,assistant_director|director|art_department,tt0359619|tt0384915|tt0118654|tt0315893
Vijay Talwar,director|producer,tt0316190|tt0246456
Yusuf Khan,editor|sound_department|composer,tt0297983|tt0107311|tt0116690|tt0371775
Sanjay Jha,actor|director|assistant_director,tt0248185|tt3631212|tt0330783|tt0238936
Milap Zaveri,writer|director|actor,tt0347278|tt8202612|tt0294662|tt2792284
Raja Bundela,actor|director|producer,tt5784778|tt0392625|tt1942975|tt3111548
A. Jagannathan,director,tt0274351|tt0319621|tt0324217|tt0764655
Sunil Sharma,cinematographer|producer|miscellaneous,tt1471247|tt2728318|tt2437954|tt0319500
Ameerjan,director|writer,tt3269138|tt10122590|tt0320698|tt0248428
Ajit Singh Deol,actor|producer|director,tt0216110|tt0302952|tt0445085|tt0243639
Narendra Suri,director|producer|assistant_director,tt0051842|tt0387050|tt0139548|tt0824414
Rajnish Thakur,writer|director|actor,tt0349333|tt2232524|tt0847180|tt0461125
Anand Sagar,producer|director|miscellaneous,tt8230598|tt0147811|tt0362057|tt0361313
Ashok Kumar,director,tt0319623|tt0269110|tt0292277|tt3715280
M.K. Burman,director|art_director|assistant_director,tt0047561|tt0048181
Sanjay Gadhvi,director|writer|actor,tt1034449|tt0441048|tt0322653|tt0422091
Manibhai Vyas,director,tt1286628|tt0420096|tt0358102|tt0389370
Amit Kumar,director|writer|assistant_director,tt0397941|tt2198235|tt4005402|tt9805612
Sukhwant Dhadda,director|writer|producer,tt7509968|tt0977643|tt7503806|tt5255974
Rahul Dholakia,director|writer|producer,tt1637718|tt3405236|tt0433425|tt1309561
Jaideep Sen,assistant_director|director,tt1182908|tt1029231|tt0254481|tt0116690
Shrikant Sharma,assistant_director|producer|director,tt1692075|tt0114231|tt1002963|tt0217608
Balraj Tah,director|writer|producer,tt0322814
Mani Shankar,writer|director|special_effects,tt0313844|tt1287847|tt0366985|tt0444913
Irfan Khan,assistant_director|director|producer,tt0208903|tt0364134|tt0362798|tt0483239
Ashim Ahluwalia,director|writer|cinematographer,tt6926486|tt1629715|tt0326257|tt0478176
Hasnain Hyderabadwala,director|assistant_director|editorial_department,tt1603862|tt5032360|tt0995827|tt0833484
Kabir Khan,director|producer|writer,tt0770214|tt2016894|tt0325413|tt3863552
K. Pappu,director|writer|producer,tt0316827|tt0172617|tt0358261|tt0114225
Ravi Rai,assistant_director|director|writer,tt0402796|tt0861703|tt0321067|tt2674286
Amit Suryavanshi,director,tt0112308|tt1294177
Dilip Shankar,director|writer,tt2158633|tt0172089|tt0378155|tt0845503
Jeetu Arora,assistant_director|director|actor,tt8523124|tt1900118|tt4107858|tt0435390
Ajay Kashyap,director|writer|cinematographer,tt0361761|tt0359168|tt0110795|tt0361904
Bolu Khosla,assistant_director|producer|director,tt0073569|tt0060689|tt0367918|tt0232081
Aditya Raj,assistant_director|actor|director,tt0101283|tt0459652|tt0808457|tt5024066
Umesh Ghadge,director|assistant_director|production_manager,tt1395054|tt0195231|tt0422091|tt4668742
Ejaz Gulab,stunts|director|actor,tt2359810|tt0986264|tt0315642|tt0169102
Prawaal Raman,writer|director|assistant_director,tt0296574|tt1883121|tt4024944|tt4552486
Howard Rosemeyer,miscellaneous|actor|director,tt5165344|tt4169250|tt0151150|tt3338188
Ravi Kumar,director|writer|producer,tt0488928|tt0839742|tt0392105|tt0327054
Virendra Sharma,director|actor|art_department,tt3672774|tt2742580|tt2531986|tt0359143
Nabh Kumar 'Raju',director|writer|assistant_director,tt9777478|tt9592292|tt0418598|tt0226786
Subhash Sharma,director,tt0361046
Kulbhushan,director,tt0177491
Hasrat Lucknowi,director|writer|producer,tt0177474|tt2162651
Pattanna,director,tt0049138
S.M. Yusuf,director|producer|actor,tt1134641|tt0395459|tt0381051|tt0432813
Homi Adajania,director|writer|actor,tt3142688|tt0412308|tt2168910|tt5542802
Mandi Burman,director|producer,tt0054059
Ajit Chakraborty,producer|director,tt0139027|tt0268519|tt0050587|tt0357433
Sujoy Ghosh,writer|director|producer,tt0347278|tt1821480|tt8130968|tt1227762
Latif Khan,assistant_director|director,tt0079963|tt0349618|tt0085361|tt0176105
Nitya Mehra,director|assistant_director|writer,tt0454876|tt5197544|tt2792284|tt0461936
Jagdish Nirula,director|actor|assistant_director,tt0474877|tt0316268|tt0426253|tt0878098
R.K. Rakhan,writer|director,tt0056232|tt0271587|tt0425385
Pradeep Sarkar,director|writer|producer,tt0985636|tt0437407|tt5669082|tt3495000
Rajendra Sharma,director|actor,tt0158457|tt6131618|tt6128850|tt0373800
Alo Sarkar,director|actor|writer,tt0055411|tt1219315|tt0050484|tt0061467
Nadeem Khan,cinematographer|camera_department|director,tt0302058|tt0396255|tt0109010|tt0157451
Sushen Bhatnagar,director|writer|producer,tt1094444|tt0329620|tt10747058|tt1887817
M.R. Shahjahan,assistant_director|director|producer,tt0176016|tt2033947|tt0083987|tt1204913
Jayprakkash Shaw,director|assistant_director|writer,tt0447890|tt10667122|tt0343064|tt0114316
Amol Shetge,director|writer|actor,tt0841153|tt9777766|tt0459475|tt1034394
Sunhil Sippy,director|writer|producer,tt0271197|tt5775220
Suparn Verma,writer|director|actor,tt0490170|tt1201557|tt0366630|tt0331453
Nari Ghadiali,director|miscellaneous,tt0381316|tt0378134|tt0379872|tt0376638
Amole Gupte,actor|writer|director,tt1907761|tt1274295|tt7291466|tt0986264
Gurudev Bhalla,assistant_director|director|producer,tt0156891|tt0107060|tt0156659|tt0284479
Rajiv Goswami,actor|director|editor,tt0242568|tt0233464|tt0371058|tt0359151
Deepak Pawar,director|writer|actor,tt0403200|tt2009434|tt0376080|tt1663647
Shaad Ali,director|actor|writer,tt7690638|tt1334470|tt0448206|tt0833476
S.K. Subash,director,tt2015304|tt2459460|tt0450577|tt0333368
Seema Bhargava,actress,tt0315642|tt3495030|tt6967980|tt6971752
Coca Cola,actor|director|producer,tt0361508|tt0368825|tt0061366|tt0454506
Johny Bakshi,producer|actor|miscellaneous,tt0366939|tt0308417|tt1633212|tt0286505
Ken Ghosh,director|writer|producer,tt1392744|tt0362771|tt9778022|tt0422236
Adam Bhala Lough,director|writer|producer,tt0337585|tt4423066|tt6333062|tt0853157
Hriday Shetty,director|assistant_director,tt0439754|tt0364604|tt9199210|tt1281838
Prem Lalwani,producer|writer|director,tt0178185|tt0446889|tt0172519|tt0349122
Bobby Raj,producer|director|writer,tt0339936|tt0495893|tt0362213|tt0361904
B.K. Dubey,miscellaneous|assistant_director|director,tt0351700|tt0078418|tt0072860|tt0275489
Manoj Punj,director|writer,tt1620971|tt0449221|tt0308875|tt0892113
Himanshu Brahmbhatt,assistant_director|director,tt0156985|tt0443208|tt0101733|tt0341639
Dilip Naik,assistant_director|director|editorial_department,tt0341496|tt0072860|tt0427400|tt0078418
Sabir Khan,assistant_director|director|soundtrack,tt4864932|tt3142232|tt6117702|tt1144804
Sharad Sharan,editor|director|producer,tt2658984|tt1669165|tt1066433|tt4268852
Omung Kumar,art_department|art_director|production_designer,tt0375611|tt6265988|tt5120640|tt3001638
Tanvir Ahmed,director|producer,tt2952750|tt4201936|tt2728258|tt0402740
Sadaqat Hussein,director|assistant_director,tt0346733|tt0099869
B. Krishna Rao,writer|director,tt0346870
Chandrakant Singh,director|producer|writer,tt4811706|tt8512694|tt1137979|tt1947973
Sameer Sippy,assistant_director|director|miscellaneous,tt0323013|tt1185420|tt2876408|tt4979160
Kushan Nandy,director|producer|writer,tt0449982|tt6220856|tt0349058|tt6711660
Satya Gopal Bhatnagar,director,tt0350525
Shantilal Soni,director|producer|writer,tt0357926|tt0386664|tt1286636|tt0358147
Pradip Jain,director,tt0352809
Pavan Kaul,director|assistant_director,tt3197802|tt0448413|tt2801992|tt1214948
Fuwad Khan,cinematographer|director|camera_department,tt0813996|tt1280558|tt1408029|tt0348843
Manoj Tyagi,writer|director,tt0363409|tt0443708|tt0457875|tt1127870
D. Rajendra Babu,director|writer,tt4978228|tt5762158|tt4975852|tt0367828
Nazir,director|producer,tt0353233|tt0268631|tt0364218
Akiv Ali,editor|editorial_department|director,tt2082197|tt2905838|tt5460276|tt2178470
Abhishek Chaubey,writer|director|assistant_director,tt2675978|tt0488414|tt1345777|tt4434004
Govind Menon,director|actor|assistant_director,tt0345102|tt0279986|tt0451639|tt0349679
Kanti Shah,director|producer|writer,tt1027835|tt0396805|tt0396491|tt0363406
Kabir Sadanand,actor|director|producer,tt3683702|tt0430480|tt1442583|tt8649832
Raja Menon,writer|director|producer,tt5745450|tt0354405|tt1202517|tt4387040
Satish Rajwade,director|writer|actor,tt5190944|tt7748494|tt1822266|tt0273849
Susi Ganesan,director|writer|assistant_director,tt2066062|tt0356178|tt1855400|tt7505152
Samir Karnik,director|writer|producer,tt0349703|tt1512321|tt0845494|tt1114725
V.K. Prakash,director|actor|writer,tt1471234|tt4760108|tt8016662|tt0356624
Sunil Sikand,assistant_director|director|writer,tt6352572|tt0356602|tt0079963|tt0359582
K.C. Agarwal,director,tt0178179|tt0358054
Ramesh Ahuja,assistant_director|director,tt0360712|tt0363773|tt0364048|tt0363959
D.S. Azad,director,tt2437560|tt0357821|tt1265654|tt2779306
Shriram Bohra,director,tt1587430|tt0357827
Mahesh Dattani,writer|director|actor,tt0355740|tt5085386|tt0419974|tt0373779
Raman B. Desai,director,tt0389485|tt0375992|tt0388822|tt0389191
Mahmood Farooqui,director|actor|writer,tt1447508|tt1659205|tt0355740
Ram Govind,writer|actor|director,tt0337578|tt0155079|tt0448812|tt0374115
Harbans,director|miscellaneous|actor,tt2651826|tt0155898|tt0357875|tt0387411
Suresh Issar,director,tt0357651
Kaushalraj Batra,producer|director|assistant_director,tt0080775|tt2619976|tt0154206|tt0357451
Bhisham Kohli,actor|director|producer,tt0360718|tt0374016|tt0357602|tt1206654
Kamal Majumdar,director|actor|writer,tt1593727|tt0358042|tt1584005|tt0317088
Ramesh Puri,director|assistant_director|actor,tt0430282|tt0357879|tt0379853|tt0178177
Ved Rahi,writer|director|assistant_director,tt0061206|tt0303187|tt0147811|tt0357826
Probir Roy,assistant_director|actor|director,tt0357472|tt0074503|tt0157451|tt0055783
S.M. Sagar,director|producer,tt1227152|tt0357963|tt0483298|tt1534389
S.U. Syed,director|camera_department,tt0357709|tt0391720|tt1315590|tt4428606
Lalit Marathe,director|writer|soundtrack,tt2032530|tt0341266|tt0367110|tt4059976
Feroz Chinoy,director,tt0408695|tt0398320|tt0358971|tt2448408
N.V. Deshpande,director|producer,tt0359634
S.M. Iqbal,writer|director|producer,tt0187279|tt0405856|tt0100539|tt0359858
Kewal Kumar,producer|actor|director,tt0175908|tt0360463|tt0359687|tt0064856
Umesh Mathur,writer|assistant_director|director,tt0360233|tt0178205|tt0051842|tt0148266
Krishnakant Pandya,assistant_director|director,tt2011178|tt0358992|tt0363666|tt0360051
Anwar Pasha,director|assistant_director|actor,tt0349382|tt0246842|tt0359374|tt0357717
Shyam Ralhan,director|writer|actor,tt0400565|tt0390473|tt0359512|tt0359978
K.R. Reddy,director|assistant_director,tt0368870|tt0359971|tt3606782|tt0360145
K. Shrivastava,director,tt0359129
Jagdish Sidana,director|assistant_director|producer,tt0359967|tt0340090|tt3638354|tt0321421
Sajid Khan,writer|actor|director,tt1573072|tt2344678|tt1980986|tt3036740
Sharan Agarwal,director|assistant_director,tt0156995|tt0360894
Krishna D.K.,writer|director|producer,tt8108202|tt9544034|tt0361625|tt2436516
Harsh Kohli,director|producer|miscellaneous,tt0178188|tt0178196|tt0361376|tt0361853
Raj Nidimoru,writer|director|producer,tt9544034|tt1916728|tt2436516|tt8108202
Ram Pahwa,director,tt0372823|tt4766336|tt0361944|tt2706266
Ram Rano,director,tt0360626
S.S. Ravichandra,director,tt0371515|tt0363787|tt0363735|tt0363002
Rajashekhar,director,tt0361770
Kalpana Bhardwaj,director,tt0363170
Manmohan,director|assistant_director|producer,tt0364112|tt0471915|tt0065064
Avtar Bhogal,director|writer|producer,tt0364196|tt0363657|tt4335698|tt1368438
Yash Chouhan,director|assistant_director|writer,tt0363568|tt1661866|tt8071646|tt1491938
Chandra Prakash Dwivedi,actor|director|writer,tt0347779|tt4190220|tt4949324|tt9637132
Dilip Gulati,director|producer|actor,tt0363727|tt2655662|tt3720438|tt2637732
Shiv Sahni,director,tt0364555
R.K. Shoery,director,tt0364405|tt0408735
B.S. Shaad,producer|director|actor,tt4649296|tt6164394|tt0071725|tt0315897
Gayle Ferraro,director|producer,tt1541943|tt0392033|tt1578268|tt0364949
Arindam Chaudhuri,producer|director|writer,tt1179782|tt0470301|tt4249442|tt0423087
Praveen Nischol,producer|director|actor,tt0373856|tt0136153|tt0398285|tt0473310
Amit Roy,cinematographer|director|writer,tt0432047|tt6296236|tt0422236|tt0473310
Karunesh Thakur,director|writer|producer,tt0339994|tt0366155|tt0373814|tt1313227
V. Joshi,director,tt0093287
Subhash Kapoor,writer|actor|director,tt2621000|tt4684028|tt1020899|tt5982852
Arun Dutt,producer|director|writer,tt0416890|tt0367546
Tarun Dutt,assistant_director|producer|director,tt0157337|tt0367546|tt0416890|tt0157556
Roop Dutta Naik,director,tt0367919
Anil Suri,producer|director,tt0087975|tt1692184|tt0367927
Soumitra Ranade,producer|writer|director,tt0368811|tt3073326|tt4355838|tt2163594
Atul Sabharwal,writer|director|producer,tt2804026|tt1739744|tt0451824|tt1159230
Janaki Vishwanathan,director|writer,tt0367942|tt3524410
Mohan J. Bijlani,director|producer,tt0175566|tt2878766|tt0208686|tt0176272
Santosh Kumar Chauhan,producer|director,tt0370090|tt1236408
Rohan Sippy,director|producer|actor,tt0476527|tt1618430|tt10762364|tt2341766
Prakash Kapoor,assistant_director|director,tt0283417|tt0064842|tt4882710|tt2009425
Prem Kapoor,writer|assistant_director|director,tt0067651|tt0499246|tt0370319|tt2753386
G.H. Sarin,director,tt0370467
Srinivas Bhashyam,assistant_director|art_director|director,tt1474271|tt0112553|tt0396782|tt0264820
Anurag Basu,director|writer|producer,tt0800956|tt4129428|tt0495032|tt2082197
N.D. Kothari,producer|director,tt0371631|tt0371932|tt0371637|tt0242714
Ramesh Bedi,director|producer|writer,tt0451703|tt0373858|tt2782822|tt0398148
Parvati Balagopalan,director|producer|writer,tt6954042|tt0375021|tt1399602|tt5025782
Sanjay F. Gupta,cinematographer|director|camera_department,tt0364621|tt0418362|tt1146325|tt0444849
Richie Mehta,writer|director|editorial_department,tt2932606|tt2048770|tt0907674|tt9398466
Ajay Phansekar,director|writer|producer,tt6593104|tt4896862|tt1016044|tt0375733
R.P. Swamy,director,tt2659160|tt0426087|tt3715150|tt0485811
Soham Shah,writer|miscellaneous|director,tt0248126|tt0415908|tt11022324|tt1242782
Amitoj Mann,director|writer|actor,tt3211048|tt0378025|tt4718728|tt6611578
A.R. Murugadoss,writer|director|actor,tt2187153|tt0449951|tt1166100|tt3801314
Sriram Raghavan,writer|director,tt8108198|tt3678782|tt1077248|tt0352314
Rajeev Nagpal,assistant_director|actor|director,tt0099929|tt0086892|tt0420196|tt0086925
Ramesh Modi,director|writer|actor,tt2308829|tt0395748|tt0391741|tt8555270
Kiran Rao,producer|assistant_director|actress,tt0169102|tt1433810|tt5074352|tt1934231
Dinesh-Ramanesh,director,tt0178177|tt0390668|tt0430282|tt0431350
Debu Sen,director,tt0060317|tt0428701
Surendra Shailaj,writer|director|actor,tt2649346|tt1587226|tt0177498|tt0246740
Shona Urvashi,director|writer|composer,tt0381090|tt1241334
Anil Hingorani,director|producer,tt0095955|tt0262717
Rohit Shetty,director|actor|stunts,tt1806913|tt7212726|tt1948150|tt2112124
Roshan Taneja,director|writer,tt0178217
Ashwini Chaudhary,director|writer|assistant_director,tt2191721|tt0382792|tt9239772|tt0489486
Sudha Kongara,writer|director|assistant_director,tt5310090|tt6010240|tt4318014|tt0292113
Jitu Thakar,assistant_director|producer|director,tt0339994|tt0157358|tt0370468|tt0070253
Prabhu,director|producer,tt0379167
Kannan,director,tt0318297|tt0318607
Shamim Bhagat,director|editor|producer,tt0383877|tt0358147|tt0387071|tt0133188
Robbie Grewal,director|writer|producer,tt0860454|tt0473567|tt1305840|tt8550208
Pradeep Maini,director,tt0385312|tt0484279|tt0296705
Birendra Nath Tiwari,director|producer,tt0385351|tt1525885
Yogesh Bharadwaj,director|writer|assistant_director,tt5822288|tt0459133|tt0385564|tt0118751
Sridhar Rangayan,director|writer|producer,tt0999927|tt6028796|tt1151299|tt4440690
Kailash Bhandari,director|producer,tt3313428|tt3642958|tt0373683
Pachhi,actor|producer|director,tt2693662|tt0430232|tt0061366|tt2613668
K. Ramanlal,camera_department|cinematographer|director,tt0052217|tt0367695|tt0078241|tt0056379
Akhtar Siraj,director|actress|assistant_director,tt0077451|tt0117623|tt0386586|tt0062748
Shashanka Ghosh,director|producer|actor,tt10955452|tt0387678|tt5842616|tt1176911
Gyan Kumar,director,tt0178200
Prabhat Kumar,assistant_director|director|actor,tt0145856|tt0093949|tt0405856|tt0384608
R. Thakur,director,tt0372313|tt0398113|tt2761572|tt0396474
Madhusudan,writer|director,tt0449923|tt0067555|tt0128962
S.K. Luthra,director|producer|miscellaneous,tt0381317|tt0300160|tt2613222|tt0386543
Vicky Ranawat,director|assistant_director|producer,tt0934414|tt2663818|tt0490434|tt0489530
Rajesh Seth,director,tt0367499|tt0360693|tt0346160
Abrar,assistant_director|director|actor,tt0176101|tt0060310|tt0391553|tt0262446
Ramanlal Desai,director|editor|production_manager,tt0391550|tt4449594|tt1286598|tt0047796
Ramanjit Juneja,director,tt0823607|tt1079967|tt0388315
Murugan Kumaran,director|producer,tt0139446|tt0234174|tt0392187|tt0418760
Kanak Mishra,director|assistant_director,tt0246800|tt0130803|tt0388389|tt0384916
