name,profession,known_for
Chandu,miscellaneous|camera_department|actor,tt0284137|tt0357875|tt0147811|tt0079584
Basu Chatterjee,director|writer|producer,tt0064935|tt0079364|tt0072064|tt0152720
Samar Chatterjee,actor|director|producer,tt0056850|tt0176072|tt0389304|tt0058257
Kartick Chattopadhyay,director,tt0157454|tt0158022|tt0049708|tt0157726
Anil Chaudhary,actor|director|writer,tt7139504|tt1852179|tt0240849|tt2962230
Sanjay Chhel,writer|music_department|director,tt1132595|tt0120540|tt0220597|tt0807758
Leela Chitnis,actress|director|music_department,tt0031527|tt0270274|tt0270273|tt0052154
Chitrayug,director,tt0280398
Abhay Chopra,actor|director,tt0111068|tt0456413|tt0189633|tt0248185
Aditya Chopra,producer|writer|director,tt0420332|tt0213890|tt1182937|tt0112870
B.R. Chopra,producer|director|writer,tt0057120|tt0053985|tt0337578|tt0052154
Ravi Chopra,director|producer|writer,tt0158534|tt0158451|tt0337578|tt0158694
Mohan Choti,actor|director|producer,tt0242272|tt0146335|tt0187176|tt2679238
Greg Coyes,director|writer|producer,tt0243583|tt0276360|tt0088591|tt0235968
Lawrence D'Souza,producer|cinematographer|director,tt0449994|tt0102825|tt0267905|tt0284811
Parvin Dabas,actor|director|writer,tt0265343|tt1188996|tt0466460|tt1630282
Randhir Kapoor,actor|producer|director,tt0152139|tt0121352|tt0177497|tt0357811
Dharmesh Darshan,writer|director|music_department,tt0117437|tt0232079|tt0255111|tt0107440
Suneel Darshan,producer|director|writer,tt0267252|tt0338477|tt0444767|tt0845535
Ram Daryani,director,tt0372790|tt0158706|tt0129422|tt0158551
Bhagwan Das Varma,director|writer|producer,tt0134300|tt0130489|tt0045524|tt0374137
K.S.R. Das,director|writer|editor,tt1360879|tt1360170|tt0454411|tt0499246
Nandita Das,actress|animation_department|writer,tt0280465|tt1263679|tt0312859|tt6923462
Anand Dasani,director,tt4406512|tt0076288
Narayana Rao Dasari,director|writer|actor,tt0251834|tt0280845|tt0262781|tt0262447
Buddhadev Dasgupta,director|writer|music_department,tt0077457|tt0106546|tt0255665|tt0332699
Ravindra Dave,director|producer,tt0212857|tt0213105|tt0212745|tt0052082
Manohar Deepak,actor|director|miscellaneous,tt0053629|tt0050758|tt0068756|tt0231896
Deepshika Nagpal,actress|writer|producer,tt1047519|tt0136352|tt0482246|tt1826051
Danny Denzongpa,actor|music_department|soundtrack,tt1305797|tt0104607|tt3848892|tt0120102
Shrabani Deodhar,director|writer|producer,tt10011102|tt0473684|tt10209164|tt0267928
Sunny Deol,actor|producer|director,tt0284137|tt0116407|tt0118751|tt0099652
Dhirubhai Desai,director|sound_department|producer,tt0213476|tt0214082|tt0213966|tt0213602
Jayant Desai,director|writer|producer,tt0214188|tt0213447|tt0213564|tt0214135
Ketan Desai,producer|assistant_director|director,tt0090611|tt0089552|tt0085361|tt0098491
Manmohan Desai,director|producer|writer,tt0213773|tt0082797|tt0089552|tt0213524
T.K. Desai,art_director|art_department|director,tt0154685|tt0246286|tt0084744|tt0058270
Vikas Desai,actor|director|writer,tt1661585|tt0259571|tt0259583|tt0259322
Sulabha Deshpande,actress|director,tt2181931|tt3122380|tt0115009|tt2748972
Prabhu Deva,actor|miscellaneous|director,tt0323013|tt2077833|tt1451409|tt1084972
Ajay Devgn,actor|producer|music_department,tt0488414|tt3771536|tt0319736|tt1395054
Anil Devgan,assistant_director|director,tt0116690|tt1252488|tt0444769|tt2178508
Veeru Devgan,stunts|actor|assistant_director,tt0207513|tt0093578|tt0267617|tt0107986
Ravi Dewan,stunts|director|writer,tt0130348|tt0135140|tt0338721|tt0449994
Vinod Dewan,director|assistant_director,tt0152080|tt0270091|tt0117186|tt0173188
Ajit Dewani,director|writer,tt0271138|tt0398360|tt0482240
Debaloy Dey,assistant_director|director,tt2208248|tt0106541|tt0307837
Girish Dhamija,writer|miscellaneous|director,tt0453978|tt2023645|tt0495032|tt0827714
Guddu Dhanoa,director|producer|writer,tt0225029|tt0252277|tt0286936|tt0476762
David Dhawan,director|editor|writer,tt0207341|tt0106204|tt0807758|tt0418362
Tigmanshu Dhulia,director|actor|writer,tt1954470|tt0362696|tt2362778|tt1620933
H. Dinesh,director,tt0877595|tt0268990
Doondi,producer|miscellaneous|director,tt0280394|tt0254441|tt0061650|tt0262444
Chaturbhuj Doshi,director|writer,tt0177477|tt0214090|tt0214135|tt0213979
Mukesh Duggal,producer|director,tt0109922|tt0376080|tt0113822|tt0156982
Iqbal Durrani,writer|actor|director,tt0112485|tt0446159|tt0286620|tt0110254
Guru Dutt,actor|director|producer,tt0045529|tt0043307|tt0056436|tt0050870
Hari Dutt,director|actor,tt2935640|tt0176110|tt0271670
Mukul Dutt,music_department|director|assistant_director,tt0178184|tt0177499|tt0069152|tt0298267
J.P. Dutta,director|writer|producer,tt0485522|tt0347416|tt0250690|tt0118751
O.P. Dutta,writer|director,tt0250690|tt0118751|tt0215034|tt0089201
James Erskine,director|producer|writer,tt2557258|tt0364151|tt0398037|tt6003528
Latif Faiziyev,director|writer|actor,tt0152509|tt0170416|tt0170644|tt0170456
Sheikh Fattelal,director|cinematographer|art_director,tt0028217|tt0273632|tt0158700|tt0158915
Sibtain Fazli,director,tt0214578|tt0252386|tt0362143|tt0150422
Ashok Gaekwad,director|assistant_director|actor,tt0395519|tt0286640|tt0464969|tt0107821
Anil Ganguly,director|writer|producer,tt0165972|tt0290179|tt1459912|tt0363583
Samir Ganguly,director|assistant_director|writer,tt0067742|tt0381319|tt0306065|tt0293081
Simi Garewal,actress|director|writer,tt0063532|tt0214841|tt0231469|tt0067000
Desh Gautam,director|miscellaneous|assistant_director,tt0408733|tt0363732|tt0122162|tt0363196
Geethapryia,director|writer|music_department,tt1373147|tt1380183|tt1380211|tt3475688
B.S. Ghad,director,tt0071725
Ashok Ghai,producer|assistant_director|director,tt0238591|tt0105166|tt0107311|tt0091328
Krishna Ghattamaneni,actor|director|writer,tt0263623|tt0234739|tt0234046|tt2737906
Goutam Ghose,director|writer|cinematographer,tt0368559|tt0087868|tt0470611|tt0110794
Dilip Ghosh,director|producer,tt2658126|tt0092956|tt0098975
Nabendu Ghosh,writer|actor|script_department,tt0300575|tt0358063|tt0139447|tt0216110
Partho Ghosh,director|writer|actor,tt0446158|tt7154710|tt0341458|tt0115484
Rituparno Ghosh,writer|director|music_department,tt0368969|tt1461674|tt1555754|tt0405266
B.S. Glaad,editor|director|writer,tt0359266|tt0257475|tt0087434|tt0148519
Devendra Goel,director|producer|writer,tt0214653|tt0178202|tt0175564|tt0130649
K.S. Gopalakrishnan,director|writer|producer,tt0215916|tt0214583|tt0214839|tt0351632
Aron Govil,producer|director|actor,tt1847736|tt1528282|tt1038915
Ashutosh Gowariker,writer|actor|producer,tt8176040|tt0169102|tt0367110|tt0449994
O.P. Goyle,assistant_director|actor|producer,tt0796808|tt0069751|tt3736942|tt0354662
Dulal Guha,director|writer|producer,tt0216110|tt0059023|tt0215714|tt0216171
Gulzar,music_department|writer|soundtrack,tt0091256|tt1010048|tt3390572|tt2176013
Gunjal,director|producer,tt0390912|tt0216007|tt0215742|tt0215522
Hemen Gupta,director|writer|producer,tt0215890|tt0215515|tt0215457|tt0055039
Sanjay Gupta,writer|director|producer,tt0488906|tt0430381|tt4323504|tt0294662
Kamal Haasan,actor|music_department|writer,tt0222012|tt0479651|tt0364647|tt2199711
Vipin Handa,director|writer|music_department,tt0271243
Jugal Hansraj,actor|director|writer,tt0085913|tt1050739|tt0456165|tt1351224
K. Hariharan,producer|director|actor,tt0309580|tt3766460|tt0273513|tt0103124
Tara Harish,director|actress|producer,tt0399394|tt0135399|tt0371765|tt0391833
Arjun Hingorani,director|producer|actor,tt0271023|tt0367921|tt1454012|tt0383611
Sunil Hingorani,director|writer,tt0095955|tt0496523|tt0363739
Rajkumar Hirani,writer|editor|director,tt0456144|tt0374887|tt1187043|tt2338151
Nasir Hussain,writer|director|producer,tt0230348|tt0104561|tt0066888|tt0095936
M.F. Hussain,writer|director|art_department,tt1756673|tt0232801|tt0221982|tt0366761
Mohammed Hussain,director|actor|cinematographer,tt0175608|tt0230717|tt0230771|tt0230787
Waris Hussein,director|actor|writer,tt0067601|tt0065085|tt0088951|tt0080212
Shafi Inamdar,actor|director|writer,tt0294230|tt0099652|tt0135666|tt0286705
Honey Irani,writer|actress|assistant_director,tt0250483|tt0254481|tt0234000|tt0102258
Indra Kumar,director|producer|actor,tt0845448|tt0099429|tt0461323|tt0114230
B.R. Ishara,director|writer|assistant_director,tt0230313|tt0230607|tt0231204|tt0230389
Yogesh Ishwar,writer|assistant_director|producer,tt0315642|tt2503954|tt3876876|tt0254927
Ishwarlal,actor|director|producer,tt0230410|tt0175785|tt0230700|tt0231732
Puneet Issar,actor|director|writer,tt1504687|tt0158417|tt0297416|tt0415003
Sudesh Issar,director|assistant_director|actor,tt0091312|tt0482673|tt0359534|tt0055949
James Ivory,director|writer|producer,tt5726616|tt0091867|tt0104454|tt0107943
Rumi Jaffery,writer|actor|director,tt0284328|tt0476550|tt0118673|tt0119285
Jagdeep,actor|music_department|soundtrack,tt0213500|tt0073707|tt0109117|tt0096140
Jainendra Jain,writer|director|music_department,tt0121352|tt0078204|tt0374271|tt0359492
Jambulingam,director|make_up_department|writer,tt3516088|tt0175448|tt0389178|tt0290783
Talat Jani,director|assistant_director|writer,tt0809515|tt10116026|tt0193449|tt0173301
Nandlal Jaswantlal,director|producer,tt0139583|tt0045506|tt0048410|tt0230384
Piyush Jha,director|writer|actor,tt0198364|tt1241334|tt1278447|tt0388181
Prakash Jha,director|producer|writer,tt1291465|tt0373856|tt0451631|tt0119720
Raghunath Jhalani,director|assistant_director|writer,tt0069711|tt0229952|tt0230028|tt0077200
Jijo Punnoose,producer|director|assistant_director,tt10345546|tt0215023|tt0318122|tt0280968
Joginder Shelly,actor|director|miscellaneous,tt0481897|tt1235441|tt0158356|tt1176126
Vasant Joglekar,director|producer|actor,tt0230176|tt0230418|tt0230213|tt0056805
I.S. Johar,actor|writer|director,tt0077413|tt0231592|tt0154685|tt0056172
Karan Johar,producer|actor|writer,tt0347304|tt0172684|tt1188996|tt0248126
Joshiy,director,tt0292142|tt0249364|tt0246809|tt0928191
Madan Joshi,writer|actor|director,tt0069711|tt0099929|tt0071541|tt0451614
Tony Juneja,director|producer|assistant_director,tt0178209|tt0110140|tt3876936|tt0079584
K.S. Ravikumar,director|actor|writer,tt0213969|tt0479651|tt0442781|tt2621382
Jagdish Kadar,director|writer,tt0275466
Kalidas,director|producer|actor,tt0139065|tt0430561|tt0051340|tt0056052
Kalpataru,director|writer,tt0231453|tt0232132|tt0232573|tt0231901
Kamal,director|writer|assistant_director,tt0314366|tt2717168|tt0355410|tt0292300
S.R. Puttana Kanagal,director|writer,tt0231455|tt0232152|tt0232515|tt0232977
Thampi Kannanthanam,director|producer|writer,tt0282889|tt0352460|tt0271342|tt0288153
Raj Kanwar,director|writer|producer,tt0444840|tt0272062|tt0116690|tt0286724
Sohanlal Kanwar,producer|director|assistant_director,tt0073657|tt0246848|tt0149814|tt0374112
Aatish Kapadia,writer|producer|soundtrack,tt1738293|tt0306434|tt1727829|tt0390614
Abhishek Kapoor,director|writer|actor,tt2213054|tt4399594|tt7027278|tt1230165
Bharat Kapoor,actor|director,tt0096139|tt0364228|tt0186850|tt0366761
Kedar Kapoor,director|producer,tt0231344|tt0232288|tt0232583|tt1350913
Pankaj Kapur,actor|director|writer,tt0379370|tt0290820|tt0083987|tt0292829
Rajat Kapoor,actor|director|writer,tt1014672|tt0377131|tt1286766|tt3614516
Rajiv Kapoor,actor|producer|assistant_director,tt0117374|tt0149568|tt0084532|tt0121352
Ranjit Kapoor,writer|director|actor,tt0110222|tt0249588|tt0319736|tt0293342
Rishi Kapoor,actor|soundtrack|music_department,tt1275863|tt1849718|tt2176013|tt4900716
Abdul Rashid Kardar,director|producer|writer,tt0231218|tt0232253|tt0048816|tt0130643
Radhu Karmakar,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
Girish Karnad,actor|writer|director,tt0076089|tt0078030|tt0075747|tt2016894
Shaji N. Karun,cinematographer|director|writer,tt0111332|tt1430096|tt0202055|tt0095872
Girish Kasaravalli,director|writer|producer,tt1437827|tt1794825|tt0330241|tt0944961
Anurag Kashyap,producer|writer|director,tt1327035|tt1639426|tt3322420|tt1954470
D.D. Kashyap,director|writer|producer,tt0139303|tt0232624|tt0232066|tt0231215
Arun Kaul,director|miscellaneous|writer,tt0091256|tt0068531|tt0097045|tt0246567
Awtar Krishna Kaul,director|writer|assistant_director,tt0065484|tt0071083
Mahesh Kaul,director|producer|writer,tt0062897|tt0176074|tt0232759|tt0231817
Raj Kaushal,director|producer|actor,tt0800981|tt0275608|tt0387047|tt0414503
Satish Kaushik,actor|director|producer,tt0940585|tt0085743|tt0374271|tt0098168
Keshu Ramsay,producer|director|cinematographer,tt0290429|tt0261001|tt0104927|tt0347332
S. Khalil,writer|director,tt0371558|tt0177502|tt0435079|tt0057882
Aamir Khan,actor|producer|soundtrack,tt2338151|tt5074352|tt0986264|tt0169102
Ahmed Khan,miscellaneous|director|actor,tt6843812|tt2016894|tt2372222|tt1166100
Amjad Khan,actor|director|composer,tt0073707|tt0231416|tt0083349|tt0243395
Arbaaz Khan,actor|producer|director,tt2112131|tt0811066|tt1620719|tt0116024
Arshad Khan,director|writer,tt0115558|tt1629424|tt0177483|tt0349635
Feroz Khan,actor|producer|director,tt0413984|tt0175450|tt0210920|tt0366630
Hamid Ali Khan,director|producer,tt3813100|tt1623692|tt0225013|tt0273804
Mansoor Khan,director|writer|assistant_director,tt0112313|tt0104561|tt0151150|tt0095936
Mazhar Khan,actor|producer|director,tt0116391|tt0155408|tt0081491|tt4406418
Raju Khan,miscellaneous|camera_department|director,tt0169102|tt0449994|tt4535650|tt0238936
Sanjay Khan,director|actor|producer,tt0271421|tt0175566|tt0259170|tt0091320
Sohail Khan,actor|producer|writer,tt1188982|tt0233856|tt0173080|tt0807758
Prabhat Khanna,director|assistant_director,tt0096355|tt0304147
Sanjay Khanna,director|assistant_director,tt0847180|tt0297983|tt0117623|tt0112916
Sikandar Khanna,director|assistant_director|actor,tt0081783|tt0368079|tt0360231|tt0073837
Anupam Kher,actor|producer|music_department,tt1045658|tt5462602|tt4169250|tt0405508
Rajan Khosa,director|writer|actor,tt2156785|tt0118924|tt0196213|tt0392883
Dwarka Khosla,director|writer|cinematographer,tt0232529|tt0063178|tt0231630|tt0213447
Raj Khosla,director|writer|producer,tt0073569|tt0231150|tt0055949|tt0151466
Kireet Khurana,producer|writer|director,tt5963908|tt6741048|tt2171840|tt0240126
Jugal Kishore,director|actor|producer,tt0231155|tt0231567|tt0231434|tt0231898
Toshiaki Kobayashi,animation_department|director,tt0156213|tt0151178|tt0182637|tt0182616
Kuku Kohli,director|assistant_director|actor,tt0200435|tt0286672|tt0254683|tt0282275
Kunal Kohli,director|writer|producer,tt0439662|tt2354407|tt1191138|tt0378072
Rajkumar Kohli,producer|director|actor,tt0074949|tt0326983|tt0079589|tt0083608
Dada Kondke,director|actor|writer,tt0232264|tt0231771|tt0232783|tt0231140
Mahesh Kothare,actor|director|producer,tt5460758|tt0985641|tt1219390|tt0273707
Pradip Krishen,director|writer|editor,tt0268382|tt0104176|tt0234211|tt0233926
Manmohan Krishna,actor|director|writer,tt0052736|tt0150251|tt0239452|tt0374033
Suresh Krishna,director|writer|assistant_director,tt0814295|tt0355914|tt0320421|tt0139876
R. Krishnamurthy,director|editorial_department,tt0429060|tt0364236|tt0364698|tt0187576
R. Krishnan,director,tt0234700|tt0233650|tt0234195|tt0234959
Priya Krishnaswamy,editor|director|writer,tt2766336|tt2766478|tt9277762|tt2624852
Nagesh Kukunoor,director|writer|actor,tt2976176|tt4088588|tt0338490|tt0453729
Raghuvir Kul,director,tt0093555
Chandrakant Kulkarni,director|actor|writer,tt1206310|tt3345830|tt0272001|tt0984056
Amar Kumar,director|actor|writer,tt1058549|tt0059445|tt0064856|tt0175908
B.H. Tharun Kumar,miscellaneous|director|art_department,tt0115009|tt0109116|tt0291376|tt0109555
Dharam Kumar,director,tt0176110|tt0213737|tt0214059|tt2761622
Gulshan Kumar,producer|actor|miscellaneous,tt0101733|tt0439464|tt1156148|tt6836936
Harbance Kumar,director|writer|producer,tt0066299|tt0237304|tt0796351|tt0408614
Kishore Kumar,music_department|soundtrack|actor,tt0084385|tt0065416|tt0077451|tt0073707
Kranthi Kumar,producer|director|writer,tt0253667|tt1630249|tt1675735|tt0092033
Kundan Kumar,director|producer,tt0177497|tt0233774|tt0176003|tt0233227
